date,AAPL,Return,42d,252d,Mov_Vol
2008-10-28,99.91,0.08150342101165153,121.1797619047619,157.35535714285712,-0.03884041116192449
2008-10-29,104.55,0.045395645129715445,119.63261904761904,157.0281746031746,-0.03662747821058958
2008-10-30,111.04,0.06022507088385194,118.31952380952383,156.7150396825397,-0.033819655222943966
2008-10-31,107.59,-0.03156279015267664,116.90595238095239,156.3981746031746,-0.03496997149556665
2008-11-03,106.96,-0.005872773812130144,115.61404761904762,156.07710317460317,-0.0354842686290913
2008-11-04,110.99,0.03698517437020044,114.44285714285715,155.77873015873018,-0.03258518908921409
2008-11-05,103.3,-0.07180273103829521,113.14238095238095,155.42757936507937,-0.038978445979501015
2008-11-06,99.1,-0.04150793478965063,111.8904761904762,155.0815476190476,-0.03976367907493712
2008-11-07,98.24,-0.008715976937110024,110.6197619047619,154.77507936507936,-0.03654000669541447
2008-11-10,95.88,-0.024316054832648676,109.26809523809524,154.4993253968254,-0.034337315064114936
2008-11-11,94.77,-0.011644506084080032,107.97833333333334,154.26523809523812,-0.030485357140712703
2008-11-12,90.12,-0.0503107879180597,106.78214285714287,153.9484126984127,-0.03996476646850135
2008-11-13,96.44,0.06777893774892645,105.74785714285714,153.67194444444445,-0.034251717959792524
2008-11-14,90.24,-0.06644826556322156,104.85285714285713,153.37805555555553,-0.037747389861594066
2008-11-17,88.14,-0.023546328335907717,103.75880952380952,153.06753968253966,-0.040026939818334606
2008-11-18,89.91,0.0198827105828405,102.54452380952381,152.77373015873016,-0.03784383984375345
2008-11-19,86.29,-0.041095453476465295,101.47880952380952,152.44611111111112,-0.042287738049048694
2008-11-20,80.49,-0.06958076341457378,100.37523809523807,152.0970238095238,-0.04652524575866707
2008-11-21,82.58,0.02563456735230176,99.27690476190476,151.74400793650796,-0.04605175550999239
2008-11-24,92.95,0.11829419370950899,98.34880952380952,151.4281746031746,-0.03896608226770444
2008-11-25,90.8,-0.023402428560205503,97.45738095238096,151.0948015873016,-0.04126366560331718
2008-11-26,95.0,0.04521760599329325,97.21309523809524,150.756626984127,-0.04033519908746994
2008-11-28,92.67,-0.024832096001940737,96.71333333333334,150.39305555555558,-0.04330627532088568
2008-12-01,88.93,-0.04119525218705126,96.23261904761905,150.02285714285716,-0.04518976026923652
2008-12-02,92.47,0.03903472417799854,96.0509523809524,149.6800396825397,-0.041558397581909705
2008-12-03,95.9,0.03642171429984545,96.02309523809524,149.3470634920635,-0.039597747611762504
2008-12-04,91.41,-0.047951100223665215,95.86285714285715,148.97369047619048,-0.04458090961548705
2008-12-05,94.0,0.027939900604276594,95.97809523809524,148.5929365079365,-0.04431419879498364
2008-12-08,99.72,0.059071476385353226,96.2145238095238,148.21761904761905,-0.04201938752006358
2008-12-09,100.06,0.0034037474047018492,96.48404761904762,147.84400793650792,-0.041775785892644045
2008-12-10,98.21,-0.018661962890376155,96.51761904761904,147.48555555555555,-0.0410848731997093
2008-12-11,95.0,-0.03323115156914198,96.15428571428572,147.10515873015873,-0.043948655873974396
2008-12-12,98.27,0.03384190077379462,96.01595238095238,146.73388888888888,-0.04213615794604944
2008-12-15,94.75,-0.03647694841179968,95.9397619047619,146.3543650793651,-0.04395933164546343
2008-12-16,95.43,0.007151150466626813,95.78595238095238,146.00130952380954,-0.04149510159543792
2008-12-17,89.16,-0.06796048591149442,95.5897619047619,145.62900793650792,-0.045289236982017075
2008-12-18,89.43,0.0030236878404216834,95.37523809523809,145.25722222222223,-0.0451469415819636
2008-12-19,90.0,0.006353473972175133,95.3397619047619,144.87146825396826,-0.04613820581113756
2008-12-22,85.74,-0.048490209160434034,95.0747619047619,144.4422222222222,-0.05140787226876111
2008-12-23,86.38,0.00743670636272409,94.79261904761906,143.99611111111113,-0.05250828143496969
2008-12-24,85.04,-0.01563443349886246,94.52261904761906,143.5440873015873,-0.05354067099231953
2008-12-26,85.81,0.009013815785337106,94.37309523809525,143.09662698412697,-0.0528524184838769
2008-12-29,86.61,0.009279732523923907,94.05642857142858,142.64734126984126,-0.0526663081329587
2008-12-30,86.29,-0.0037015658227372195,93.62166666666667,142.20373015873017,-0.0523453879622606
2008-12-31,85.35,-0.010953267279766624,93.01,141.76924603174604,-0.05199646292315114
2009-01-02,90.75,0.06134802390451053,92.60904761904762,141.35583333333332,-0.048160992016130555
2009-01-05,94.58,0.04133756407076953,92.31428571428572,141.01666666666668,-0.04055486685305703
2009-01-06,93.02,-0.016631513419778775,91.88642857142857,140.68087301587303,-0.04075367325230789
2009-01-07,91.01,-0.021845133206686518,91.59380952380953,140.36246031746035,-0.03982202735818885
2009-01-08,92.7,0.018399081982545147,91.44142857142857,140.0184126984127,-0.041591807608151905
2009-01-09,90.58,-0.023135034443741685,91.25904761904762,139.67142857142855,-0.04256273461134215
2009-01-12,88.66,-0.02142460881116032,91.08714285714285,139.3379761904762,-0.04199747519047869
